mes,mpio,fecha,hora,victima,sexo_v,edad_v,parentesco,edo_civil_v,ocupacion_v,escolaridad_v,agresor,sexo_a,edad_a,edo_civil_a,ocupacion_a,escolaridad_a,pob
1,9,2018/01/01,23,1,F,46,UNION LIBRE,UNIÓN LIBRE,EMPLEADO,SECUNDARIA,1.0,M,36 a 40,UNIÓN LIBRE,PRESTADOR DE SERVICIOS,SECUNDARIA,95534
1,9,2017/12/27,8,1,F,26,CONCUBINO (A),UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,21 a 25,UNIÓN LIBRE,SIN OFICIO,SECUNDARIA,95534
1,9,2018/01/01,11,1,F,42,NINGUNO,UNIÓN LIBRE,EMPLEADO,PREPARATORIA,1.0,M,41,CASADO,CHOFER,SECUNDARIA,95534
1,12,2017/12/22,11,1,F,26,CONCUBINO (A),UNIÓN LIBRE,HOGAR,PREPARATORIA,1.0,M,34,UNIÓN LIBRE,EMPLEADO,PRIMARIA,42715
1,12,2017/12/25,19,1,F,38,ESPOSO (A),CASADO,HOGAR,SECUNDARIA,1.0,M,45,CASADO,EMPLEADO,PREPARATORIA,42715
1,12,2017/12/25,19,1,F,28,CONCUBINO (A),UNIÓN LIBRE,HOGAR,PRIMARIA,1.0,M,24,UNIÓN LIBRE,PRESTADOR DE SERVICIOS,PRIMARIA,42715
1,10,2017/12/31,13,1,F,28,CONCUBINO (A),UNIÓN LIBRE,EMPLEADO,SECUNDARIA,1.0,M,41 a 45,NE,NE,NE,38306
1,21,2018/01/01,2,1,F,61,ESPOSO (A),CASADO,HOGAR,PRIMARIA,1.0,M,66,CASADO,SIN OFICIO,PRIMARIA,425148
1,18,2018/01/01,10,1,F,54,ABUELO(A),CASADO,HOGAR,ANALFABETA,1.0,F,21,SOLTERO,HOGAR,SECUNDARIA,247370
1,26,2017/12/30,6,1,F,39,ESPOSO (A),CASADO,SIN OFICIO,SECUNDARIA,1.0,M,37,CASADO,NE,SECUNDARIA,682880
1,26,2018/01/01,21,1,F,19,PADRE,SOLTERO,SIN OFICIO,SECUNDARIA,1.0,M,45,CASADO,NE,NE,682880
1,26,2018/01/01,8,1,F,28,NINGUNO,UNIÓN LIBRE,EMPLEADO,SECUNDARIA,1.0,M,46 a 50,NE,NE,NE,682880
1,26,2018/01/01,3,1,F,42,NINGUNO,CASADO,HOGAR,PRIMARIA,1.0,M,44,CASADO,EMPLEADO,SECUNDARIA,682880
1,26,2017/12/30,0,1,F,23,NINGUNO,CASADO,MAESTRO(A),LICENCIATURA,1.0,M,24,CASADO,EMPLEADO,LICENCIATURA,682880
1,31,2017/12/23,19,1,F,28,NINGUNO,CASADO,DESEMPLEADO,SECUNDARIA,1.0,M,31 a 35,NE,NE,NE,333481
1,31,2017/12/22,21,1,F,39,CONCUBINO (A),UNIÓN LIBRE,EMPLEADO,TÉCNICO / COMERCIO,1.0,M,34,NE,NE,NE,333481
1,31,2017/12/22,21,1,F,36,ESPOSO (A),CASADO,EMPLEADO,SECUNDARIA,1.0,M,31 a 35,CASADO,SIN OFICIO,SECUNDARIA,333481
1,39,2017/12/30,5,1,F,33,ESPOSO (A),CASADO,EMPLEADO,PRIMARIA,1.0,M,33,CASADO,NE,PRIMARIA,1109171
1,39,2017/12/23,4,1,F,40,EXESPOSO (A),DIVORCIADO,PINTOR(A),LICENCIATURA,1.0,M,40,CASADO,PROFESIONISTA,LICENCIATURA,1109171
1,39,2017/12/27,19,1,F,47,ESPOSO (A),CASADO,HOGAR,SECUNDARIA,1.0,M,46,CASADO,EMPLEADO,SECUNDARIA,1109171
1,39,2017/12/21,10,1,F,31,NINGUNO,UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,40,UNIÓN LIBRE,ALBAÑIL,SECUNDARIA,1109171
1,39,2017/12/23,5,1,F,16,UNION LIBRE,UNIÓN LIBRE,COMERCIANTE,SECUNDARIA,1.0,M,26,UNIÓN LIBRE,NE,PREPARATORIA,1109171
1,39,2017/12/25,22,1,F,44,NINGUNO,VIUDO,COMERCIANTE,TÉCNICO / COMERCIO,1.0,M,31 a 35,CASADO,EMPLEADO,PREPARATORIA,1109171
1,39,2017/12/25,19,1,F,46,NINGUNO,CASADO,HOGAR,SECUNDARIA,1.0,M,31 a 35,NE,NE,NE,1109171
1,39,2017/12/27,12,1,M,40,CONCUBINO (A),CASADO,TAXISTA,SECUNDARIA,1.0,F,55,CASADO,JUBILADO,PREPARATORIA,1109171
1,45,2017/01/01,14,1,F,20,ESPOSO (A),CASADO,COMERCIANTE,SECUNDARIA,1.0,M,18 a 20,CASADO,NE,PRIMARIA,54192
