ev,hr,mes,sa,sv
46,2,1,0,1
26,0,1,0,1
42,0,1,0,1
26,0,1,0,1
38,1,1,0,1
28,1,1,0,1
28,1,1,0,1
61,2,1,0,1
54,0,1,1,1
39,0,1,0,1
19,2,1,0,1
28,0,1,0,1
42,2,1,0,1
23,2,1,0,1
28,1,1,0,1
39,2,1,0,1
36,2,1,0,1
33,0,1,0,1
40,2,1,0,1
47,1,1,0,1
31,0,1,0,1
16,0,1,0,1
44,2,1,0,1
46,1,1,0,1
40,0,1,1,0
20,1,1,0,1
46,2,1,0,1
33,2,1,1,0
64,2,1,0,1
48,0,1,0,1
54,2,1,1,0
62,2,1,0,0
31,2,1,0,1
29,2,1,1,0
26,2,1,1,0
36,0,1,0,1
50,0,1,0,1
40,1,1,0,1
41,1,1,0,1
60,1,1,0,1
34,1,1,0,1
43,1,1,0,0
80,2,1,0,0
34,1,1,0,1
36,1,1,1,0
32,1,1,1,0
32,2,1,0,1
27,1,1,0,1
28,0,1,0,1
28,0,1,0,1
37,2,1,0,1
40,2,1,0,1
35,1,1,0,1
28,2,1,0,1
27,1,1,0,1
30,2,1,0,1
28,2,1,0,1
59,1,1,1,0
29,1,1,0,1
20,1,1,0,1
39,0,1,1,0
44,2,1,0,1
41,2,1,1,0
29,1,1,0,1
44,0,1,0,1
42,2,1,1,0
30,1,1,0,1
30,0,1,0,1
42,0,1,0,1
25,2,1,0,1
28,1,1,0,0
60,1,1,1,0
42,2,1,0,1
29,1,1,0,1
51,0,1,1,1
24,0,1,0,1
41,1,1,0,1
22,1,1,0,1
38,2,1,0,1
27,2,1,0,1
37,0,1,0,0
46,1,1,1,0
18,1,1,1,1
33,2,1,0,1
36,2,1,0,1
34,2,1,0,1
24,1,1,0,1
33,2,1,0,1
43,1,1,0,1
33,0,1,0,1
35,2,1,0,1
26,1,1,0,1
32,1,1,0,1
52,2,1,0,1
22,1,1,0,1
43,0,1,0,1
35,2,1,0,1
75,2,1,0,0
57,2,1,0,1
26,1,1,0,1
30,1,1,0,0
26,1,1,0,1
33,0,1,0,1
61,1,1,0,1
25,2,1,0,1
35,2,1,0,1
23,0,1,0,1
46,0,1,0,1
39,2,1,0,1
43,1,1,0,1
38,1,1,1,0
57,1,1,0,1
53,1,1,0,1
25,2,1,0,1
34,1,1,0,1
19,2,1,0,1
29,1,1,0,0
25,1,1,0,1
23,1,1,0,1
39,1,1,0,1
42,1,1,0,1
28,1,1,0,1
38,0,1,0,1
23,1,1,0,1
23,2,1,0,1
44,2,1,0,1
26,0,1,0,1
37,2,1,0,1
67,0,1,0,1
20,0,1,0,1
40,1,1,0,0
41,0,1,0,1
40,2,1,0,1
69,1,1,1,0
52,2,1,1,0
21,0,1,0,0
25,1,1,0,1
28,2,1,0,1
39,2,1,0,1
19,1,1,0,1
48,1,1,1,0
30,1,1,0,1
27,2,1,0,1
36,2,1,0,1
32,2,1,0,1
57,1,1,1,0
33,2,1,0,1
47,2,1,0,1
35,2,1,1,0
50,0,1,0,1
20,1,1,0,1
56,0,1,0,1
36,2,1,0,1
72,1,1,0,0
42,2,1,1,0
34,1,1,0,1
35,2,1,0,1
35,1,1,0,1
38,0,1,0,1
33,2,1,0,1
38,1,1,0,1
32,2,1,1,0
44,0,1,0,1
55,2,1,0,1
20,0,1,0,1
29,0,1,0,1
21,1,1,0,1
24,0,1,0,1
38,2,1,0,1
32,0,1,1,0
24,1,1,1,1
31,2,1,0,1
33,2,1,1,0
50,2,1,0,1
31,1,1,0,0
35,1,1,0,1
32,2,1,0,1
22,2,1,0,1
31,1,1,0,1
26,1,1,0,1
48,1,1,0,1
61,1,1,0,0
58,1,1,0,1
24,1,1,0,1
54,1,1,0,0
28,0,1,0,1
30,2,1,0,1
30,2,1,0,1
27,2,1,0,1
42,2,1,0,1
51,0,1,0,1
22,1,1,0,1
28,2,1,0,1
27,1,1,0,1
25,2,1,1,0
33,1,1,0,1
24,0,1,0,1
25,2,1,0,1
20,1,1,0,1
28,2,1,0,1
37,0,1,0,1
41,0,1,1,0
48,2,1,0,1
49,1,1,0,1
33,1,1,1,1
16,1,1,0,1
54,0,1,0,0
50,2,1,0,1
40,0,1,1,0
34,1,1,0,1
46,1,1,1,0
26,0,1,0,1
13,1,1,0,0
43,2,1,0,1
38,1,1,0,1
54,1,1,0,1
42,1,1,0,1
32,2,1,0,1
63,2,1,0,1
28,0,1,0,1
48,1,1,0,1
24,2,1,0,1
32,1,1,0,1
40,0,1,0,1
43,2,1,0,1
31,0,1,1,0
29,1,1,0,1
31,2,1,0,1
29,1,1,0,1
34,0,1,0,1
27,1,1,0,1
78,0,1,0,0
37,2,1,0,1
47,2,1,0,1
26,2,1,0,0
26,0,1,1,0
39,2,1,0,1
41,2,1,0,1
42,0,1,0,1
13,1,1,0,0
33,1,1,1,0
23,1,1,0,1
18,1,1,0,1
23,2,1,0,1
43,2,1,0,1
30,1,1,0,1
29,0,1,0,1
40,1,1,0,1
38,1,1,0,1
27,1,1,0,1
38,0,1,0,0
34,2,1,0,1
34,1,1,0,1
37,1,1,0,1
6,1,1,0,1
29,0,1,0,1
30,0,1,0,1
40,1,1,0,1
44,1,1,0,1
40,0,1,0,1
42,2,1,0,1
38,1,1,0,1
43,1,1,0,1
47,0,1,1,0
32,1,1,0,1
20,2,1,0,1
30,0,1,0,1
24,2,1,0,0
63,0,1,1,1
39,1,1,0,1
41,0,1,0,1
66,0,1,0,0
78,0,1,0,0
48,0,1,0,1
24,0,1,0,1
61,1,1,0,1
10,1,1,1,1
28,0,1,0,1
26,1,1,0,1
43,2,1,0,1
34,0,1,1,0
38,1,1,1,0
34,0,1,0,1
23,1,1,0,1
41,1,1,0,1
27,2,1,0,1
21,2,1,0,1
26,2,1,0,1
30,1,1,1,0
22,2,1,0,1
19,1,1,0,1
33,1,1,0,0
30,1,1,1,0
22,1,1,0,1
20,1,1,0,1
32,2,1,1,1
38,0,1,0,1
30,0,1,0,1
19,1,1,0,1
22,1,1,0,1
61,0,1,0,1
29,2,1,0,1
36,0,1,0,1
55,0,1,0,1
19,1,1,0,1
35,1,1,0,1
22,2,1,0,1
30,2,1,0,1
32,0,1,0,1
39,1,1,1,0
57,2,1,0,1
78,1,1,0,0
26,2,1,0,1
39,0,1,0,1
60,0,1,0,1
24,0,1,0,0
45,2,1,0,1
38,2,1,0,1
33,2,1,0,1
18,2,1,0,1
30,2,1,0,1
32,2,1,0,1
35,2,1,1,1
29,0,1,0,1
25,2,1,0,1
50,1,1,0,1
34,2,1,0,1
32,2,1,0,1
