edad_a,edad_v,escolaridad,hora,mes,mpio,parentesco,sexo_a,sexo_v
38,46,SECUNDARIA,2,1,CADEREYTA JIMÉNEZ,UL,0,1
23,26,SECUNDARIA,0,1,CADEREYTA JIMÉNEZ,CONCUBINO,0,1
41,42,PREPARATORIA,0,1,CADEREYTA JIMÉNEZ,NINGUNO,0,1
34,26,PREPARATORIA,0,1,CIÉNEGA DE FLORES,CONCUBINO,0,1
45,38,SECUNDARIA,1,1,CIÉNEGA DE FLORES,ESPOSO,0,1
24,28,PRIMARIA,1,1,CIÉNEGA DE FLORES,CONCUBINO,0,1
43,28,SECUNDARIA,1,1,EL CARMEN,CONCUBINO,0,1
66,61,PRIMARIA,2,1,ESCOBEDO,ESPOSO,0,1
21,54,NINGUNO,0,1,GARCÍA,ABUELO,1,1
37,39,SECUNDARIA,0,1,GUADALUPE,ESPOSO,0,1
45,19,SECUNDARIA,2,1,GUADALUPE,PADRE,0,1
48,28,SECUNDARIA,0,1,GUADALUPE,NINGUNO,0,1
44,42,PRIMARIA,2,1,GUADALUPE,NINGUNO,0,1
24,23,LICENCIATURA,2,1,GUADALUPE,NINGUNO,0,1
33,28,SECUNDARIA,1,1,JUÁREZ,NINGUNO,0,1
34,39,TÉCNICO,2,1,JUÁREZ,CONCUBINO,0,1
33,36,SECUNDARIA,2,1,JUÁREZ,ESPOSO,0,1
33,33,PRIMARIA,0,1,MONTERREY,ESPOSO,0,1
40,40,LICENCIATURA,2,1,MONTERREY,EXESPOSO,0,1
46,47,SECUNDARIA,1,1,MONTERREY,ESPOSO,0,1
40,31,SECUNDARIA,0,1,MONTERREY,NINGUNO,0,1
26,16,SECUNDARIA,0,1,MONTERREY,UL,0,1
33,44,TÉCNICO,2,1,MONTERREY,NINGUNO,0,1
33,46,SECUNDARIA,1,1,MONTERREY,NINGUNO,0,1
55,40,SECUNDARIA,0,1,MONTERREY,CONCUBINO,1,0
19,20,SECUNDARIA,1,1,SALINAS VICTORIA,ESPOSO,0,1
42,46,PREPARATORIA,2,1,SAN NICOLÁS DE LOS GARZA,EXESPOSO,0,1
23,33,PREPARATORIA,2,1,SAN NICOLÁS DE LOS GARZA,ESPOSO,1,0
64,64,PRIMARIA,2,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,0,1
54,48,SECUNDARIA,0,1,SAN NICOLÁS DE LOS GARZA,ESPOSO,0,1
48,54,PREPARATORIA,2,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,1,0
32,62,PRIMARIA,2,1,APODACA,PADRE,0,0
31,31,SECUNDARIA,2,1,APODACA,ESPOSO,0,1
