,edad,edo_civil,escolaridad,hora,mes,mpio,parentesco,cuantos
0,46,CASADO,SECUNDARIA,N,1,CADEREYTA JIMÉNEZ,UL,1
1,26,CASADO,SECUNDARIA,M,1,CADEREYTA JIMÉNEZ,CONCUBINO,1
2,42,CASADO,PREPARATORIA,M,1,CADEREYTA JIMÉNEZ,NINGUNO,1
3,26,CASADO,PREPARATORIA,M,1,CIÉNEGA DE FLORES,CONCUBINO,1
4,38,CASADO,SECUNDARIA,T,1,CIÉNEGA DE FLORES,ESPOSO,1
5,28,CASADO,PRIMARIA,T,1,CIÉNEGA DE FLORES,CONCUBINO,1
6,28,CASADO,SECUNDARIA,T,1,EL CARMEN,CONCUBINO,1
7,61,CASADO,PRIMARIA,N,1,ESCOBEDO,ESPOSO,1
8,54,CASADO,NINGUNO,M,1,GARCÍA,ABUELO,1
9,39,CASADO,SECUNDARIA,M,1,GUADALUPE,ESPOSO,1
10,19,SOLTERO,SECUNDARIA,N,1,GUADALUPE,PADRE,1
11,28,CASADO,SECUNDARIA,M,1,GUADALUPE,NINGUNO,1
12,42,CASADO,PRIMARIA,N,1,GUADALUPE,NINGUNO,1
13,23,CASADO,LICENCIATURA,N,1,GUADALUPE,NINGUNO,1
14,28,CASADO,SECUNDARIA,T,1,JUÁREZ,NINGUNO,1
15,39,CASADO,TÉCNICO,N,1,JUÁREZ,CONCUBINO,1
16,36,CASADO,SECUNDARIA,N,1,JUÁREZ,ESPOSO,1
17,33,CASADO,PRIMARIA,M,1,MONTERREY,ESPOSO,1
18,40,SOLTERO,LICENCIATURA,N,1,MONTERREY,EXESPOSO,1
19,47,CASADO,SECUNDARIA,T,1,MONTERREY,ESPOSO,1
20,31,CASADO,SECUNDARIA,M,1,MONTERREY,NINGUNO,1
21,16,CASADO,SECUNDARIA,M,1,MONTERREY,UL,1
22,44,SOLTERO,TÉCNICO,N,1,MONTERREY,NINGUNO,1
23,46,CASADO,SECUNDARIA,T,1,MONTERREY,NINGUNO,1
24,40,CASADO,SECUNDARIA,M,1,MONTERREY,CONCUBINO,1
25,20,CASADO,SECUNDARIA,T,1,SALINAS VICTORIA,ESPOSO,1
26,46,SOLTERO,PREPARATORIA,N,1,SAN NICOLÁS DE LOS GARZA,EXESPOSO,1
27,33,CASADO,PREPARATORIA,N,1,SAN NICOLÁS DE LOS GARZA,ESPOSO,1
28,64,CASADO,PRIMARIA,N,1,SAN NICOLÁS DE LOS GARZA,NINGUNO,1
